"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"279","Calvin Ridley (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","98.9%"
"280","Christian Kirk (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","63.9%"
"281","Trey Quinn (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"282","D.J. Moore (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","96.0%"
"283","Dante Pettis (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"284","Deon Cain (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"285","Cedrick Wilson (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"286","Tre'Quan Smith (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.2%"
"287","Jaleel Scott (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"288","Michael Gallup (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40.7%"
"289","Deontay Burnett (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"290","Marcell Ateman (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"291","Anthony Miller (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14.2%"
"292","James Washington (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.8%"
"293","Courtland Sutton (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18.5%"
"294","Brandon Zylstra (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
