"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"250","Justin Hardee (NO)","0","1","0","0","0","0","0","0","0","0","0","16","0.0","0.0","5.0%"
"251","JoJo Natson (CLE)","0","0","0","0","0","0","0","0","0","0","0","12","0.0","0.0","0.0%"
"252","Taquan Mizzell (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"253","Isaac Whitney (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"254","Deante Burton (DAL)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"255","Reggie Davis (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"256","Artavis Scott (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"257","Jehu Chesson (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"258","Shelton Gibson (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"259","Noah Brown (DAL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"260","Rodney Adams (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"261","Amara Darboh (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"262","Chad Hansen (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"263","Keon Hatcher (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"264","Chad Williams (KC)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"265","Jamal Agnew (DET)","1","2","-2","-2.0","0","0","0","1","9","0","1","13","0.0","0.0","8.1%"
"266","Gehrig Dieter (KC)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"267","Quincy Adeboyejo (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"268","Josh Malone (NYJ)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"269","Trent Taylor (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"270","Dylan Cantrell (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"271","Darvin Kidsy (SEA)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"272","Derrick Willies (CLE)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"273","Joe Fortson (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"274","Jeff Badet (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"275","Daurice Fountain (IND)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"276","Equanimeous St. Brown (GB)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"277","J.J. Jones (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"278","Keith Kirkwood (CAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"279","Devin Gray (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"280","Brandon Powell (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"281","J'Mon Moore (HOU)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"282","Victor Bolden Jr. (DET)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
